Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
4.791740000,1,1,0,1,1,1,1,1
4.791764000,1,1,1,1,1,1,1,1
4.791912000,1,1,0,1,1,1,1,1
4.791936000,1,1,1,1,1,1,1,1
4.791946000,1,1,0,1,1,1,1,1
4.791972000,1,1,1,1,1,1,1,1
4.791984000,1,1,0,1,1,1,1,1
4.792012000,1,1,1,1,1,1,1,1
4.792028000,1,1,0,1,1,1,1,1
4.792054000,1,1,1,1,1,1,1,1
4.792072000,1,1,0,1,1,1,1,1
4.792098000,1,1,1,1,1,1,1,1
4.792122000,1,1,0,1,1,1,1,1
4.792146000,1,1,1,1,1,1,1,1
4.792172000,1,1,0,1,1,1,1,1
4.792198000,1,1,1,1,1,1,1,1
4.792226000,1,1,0,1,1,1,1,1
4.792252000,1,1,1,1,1,1,1,1
4.792268000,1,1,0,1,1,1,1,1
4.792294000,1,1,1,1,1,1,1,1
4.900630000,1,1,0,1,1,1,1,1
4.900654000,1,1,1,1,1,1,1,1
4.900798000,1,1,0,1,1,1,1,1
4.900822000,1,1,1,1,1,1,1,1
4.900832000,1,1,0,1,1,1,1,1
4.900860000,1,1,1,1,1,1,1,1
4.900872000,1,1,0,1,1,1,1,1
4.900898000,1,1,1,1,1,1,1,1
4.900914000,1,1,0,1,1,1,1,1
4.900940000,1,1,1,1,1,1,1,1
4.900960000,1,1,0,1,1,1,1,1
4.900984000,1,1,1,1,1,1,1,1
4.901008000,1,1,0,1,1,1,1,1
4.901032000,1,1,1,1,1,1,1,1
4.901058000,1,1,0,1,1,1,1,1
4.901084000,1,1,1,1,1,1,1,1
4.901114000,1,1,0,1,1,1,1,1
4.901138000,1,1,1,1,1,1,1,1
4.901154000,1,1,0,1,1,1,1,1
4.901180000,1,1,1,1,1,1,1,1
5.005896000,1,1,0,1,1,1,1,1
5.005920000,1,1,1,1,1,1,1,1
5.006064000,1,1,0,1,1,1,1,1
5.006088000,1,1,1,1,1,1,1,1
5.006098000,1,1,0,1,1,1,1,1
5.006126000,1,1,1,1,1,1,1,1
5.006138000,1,1,0,1,1,1,1,1
5.006164000,1,1,1,1,1,1,1,1
5.006180000,1,1,0,1,1,1,1,1
5.006206000,1,1,1,1,1,1,1,1
5.006226000,1,1,0,1,1,1,1,1
5.006250000,1,1,1,1,1,1,1,1
5.006274000,1,1,0,1,1,1,1,1
5.006298000,1,1,1,1,1,1,1,1
5.006324000,1,1,0,1,1,1,1,1
5.006350000,1,1,1,1,1,1,1,1
5.006378000,1,1,0,1,1,1,1,1
5.006404000,1,1,1,1,1,1,1,1
5.006420000,1,1,0,1,1,1,1,1
5.006446000,1,1,1,1,1,1,1,1
5.121100000,1,1,0,1,1,1,1,1
5.121124000,1,1,1,1,1,1,1,1
5.121268000,1,1,0,1,1,1,1,1
5.121292000,1,1,1,1,1,1,1,1
5.121302000,1,1,0,1,1,1,1,1
5.121330000,1,1,1,1,1,1,1,1
5.121342000,1,1,0,1,1,1,1,1
5.121368000,1,1,1,1,1,1,1,1
5.121384000,1,1,0,1,1,1,1,1
5.121410000,1,1,1,1,1,1,1,1
5.121430000,1,1,0,1,1,1,1,1
5.121456000,1,1,1,1,1,1,1,1
5.121478000,1,1,0,1,1,1,1,1
5.121504000,1,1,1,1,1,1,1,1
5.121532000,1,1,0,1,1,1,1,1
5.121558000,1,1,1,1,1,1,1,1
5.121586000,1,1,0,1,1,1,1,1
5.121612000,1,1,1,1,1,1,1,1
5.121628000,1,1,0,1,1,1,1,1
5.121654000,1,1,1,1,1,1,1,1
5.232378000,1,1,0,1,1,1,1,1
5.232404000,1,1,1,1,1,1,1,1
5.232546000,1,1,0,1,1,1,1,1
5.232572000,1,1,1,1,1,1,1,1
5.232582000,1,1,0,1,1,1,1,1
5.232608000,1,1,1,1,1,1,1,1
5.232620000,1,1,0,1,1,1,1,1
5.232648000,1,1,1,1,1,1,1,1
5.232664000,1,1,0,1,1,1,1,1
5.232690000,1,1,1,1,1,1,1,1
5.232708000,1,1,0,1,1,1,1,1
5.232734000,1,1,1,1,1,1,1,1
5.232756000,1,1,0,1,1,1,1,1
5.232782000,1,1,1,1,1,1,1,1
5.232808000,1,1,0,1,1,1,1,1
5.232834000,1,1,1,1,1,1,1,1
5.232862000,1,1,0,1,1,1,1,1
5.232888000,1,1,1,1,1,1,1,1
5.232904000,1,1,0,1,1,1,1,1
5.232930000,1,1,1,1,1,1,1,1
5.247574999,1,1,1,1,1,1,1,1
